Geographic Area,"Total Population April 1 2000r","Total Population April 1 2010",Population Change Number,Population Change Percent,SUMLEV,State,County,Sub County,Place,FuncStat
New York State,18976811,19378102,401291,2.1%,40,36,,,,A
New York City,8008686,8175133,166447,2.1%,160,36,,,51000,A
Albany County,294571,304204,9633,3.3%,50,36,1,,,A
Albany city,94444,97856,3412,3.6%,60,36,1,1000,,F
Berne town,2853,2794,-59,-2.1%,60,36,1,6211,,A
Bethlehem town,31338,33656,2318,7.4%,60,36,1,6354,,A
Coeymans town,8161,7418,-743,-9.1%,60,36,1,16694,,A
Cohoes city,15607,16168,561,3.6%,60,36,1,16749,,F
Colonie town,79327,81591,2264,2.9%,60,36,1,17343,,A
Green Island town,2283,2620,337,14.8%,60,36,1,30532,,B
Guilderland town,34045,35303,1258,3.7%,60,36,1,31104,,A
Knox town,2647,2692,45,1.7%,60,36,1,40002,,A
New Scotland town,8588,8648,60,0.7%,60,36,1,50672,,A
Rensselaerville town,1915,1843,-72,-3.8%,60,36,1,61181,,A
Watervliet city,9904,10254,350,3.5%,60,36,1,78674,,F
Westerlo town,3459,3361,-98,-2.8%,60,36,1,79851,,A
Allegany County,49927,48946,-981,-2%,50,36,3,,,A
Alfred town,5140,5237,97,1.9%,60,36,3,1209,,A
Allen town,462,448,-14,-3%,60,36,3,1319,,A
Alma town,847,842,-5,-0.6%,60,36,3,1429,,A
Almond town,1604,1633,29,1.8%,60,36,3,1451,,A
Amity town,2245,2308,63,2.8%,60,36,3,2011,,A
Andover town,1945,1830,-115,-5.9%,60,36,3,2154,,A
Angelica town,1411,1403,-8,-0.6%,60,36,3,2187,,A
Belfast town,1714,1663,-51,-3%,60,36,3,5573,,A
Birdsall town,268,221,-47,-17.5%,60,36,3,6717,,A
Bolivar town,2223,2189,-34,-1.5%,60,36,3,7201,,A
Burns town,1248,1180,-68,-5.4%,60,36,3,11253,,A
Caneadea town,2694,2542,-152,-5.6%,60,36,3,12243,,A
Centerville town,762,822,60,7.9%,60,36,3,13475,,A
Clarksville town,1146,1161,15,1.3%,60,36,3,15990,,A
Cuba town,3392,3243,-149,-4.4%,60,36,3,19367,,A
