UNIQUE ID,CENSUS YEAR,TRACT,BLOCK GROUP,FIPS ID,TOTAL POPULATION,POPULATION WHITE,POPULATION BLACK,POPULATION ASIAN,POPULATION OTHER,POPULATION AMERICAN INDIAN,POPULATION PACIFIC ISLANDER,POPULATION ONE RACE,POPULATION MULTI RACE,POPULATION 25 OLDER,MEDIAN AGE,MEDIAN HOUSEHOLD INCOME,HIGH SCHOOL MALE,HIGH SCHOOL MORE MALE,COLLEGE 1 YR LESS MALE,COLLEGE 1 YR MORE MALE,ASSOCIATES DEGREE MALE,BACHELORS DEGREE MALE,MASTERS DEGREE MALE,PROFESSIONAL DEGREE MALE,DOCTORAL DEGREE MALE,HIGH SCHOOL FEMALE,HIGH SCHOOL MORE FEMALE,COLLEGE 1 YR LESS FEMALE,COLLEGE 1 YR MORE FEMALE,ASSOCIATES DEGREE FEMALE,BACHELORS DEGREE FEMALE,MASTERS DEGREE FEMALE,PROFESSIONAL DEGREE FEMALE,DOCTORAL DEGREE FEMALE,PERCENT 25 YR OVER HIGH SCHOOL MORE,HOUSING UNITS,OCCUPIED HOUSING UNITS,OWNER OCCUPIED HOUSING,RENTER OCCUPIED HOUSING,PERCENT OWNER OCCUPIED,PERCENT RENTER OCCUPIED,MEDIAN HOUSE VALUE OWNER OCCUPIED,MEDIAN YEAR BUILT,VACANCY RATES
2000220330001001,2000,1,1,220330001001,587,107,474,0,1,0,,,,347,29.5,30109,71,104,,26,,,7,,,53,122,8,55,6,,,,,39%,242,209,108,101,52%,48%,$43300.00,1969,8.800000000000001%
2000220330001002,2000,1,2,220330001002,1088,71,994,4,1,0,,,,473,23.3,23472,76,124,11,31,6,,,,,73,166,,78,,6,9,,,27%,382,354,143,211,40%,60%,$40200.00,1967,8.800000000000001%
2000220330002001,2000,2,1,220330002001,1273,380,875,6,4,4,,,,699,33.200000000000003,17552,152,195,5,22,,11,5,,,199,313,37,58,,19,,,,40%,584,511,274,237,54%,46%,$50900.00,1966,12.5%
2000220330002002,2000,2,2,220330002002,1268,166,1094,1,0,0,,,,627,24,17076,52,118,21,37,,8,,,,108,256,19,82,12,17,18,,,29%,475,463,188,275,41%,59%,$50000.00,1969,21.7%
2000220330002003,2000,2,3,220330002003,676,91,557,17,0,1,,,,468,44.4,10854,59,154,24,63,8,,,,,47,95,12,25,,,11,,,37%,375,330,97,233,29%,71%,$67100.00,1981,17.899999999999999%
2000220330002004,2000,2,4,220330002004,997,109,883,0,2,2,,,,382,21.2,15573,57,64,,7,,,,,,114,122,,8,,,,,,19%,306,278,90,188,32%,68%,$21300.00,1955,0%
2000220330002005,2000,2,5,220330002005,1040,132,896,0,4,1,,,,606,27.9,23750,89,134,19,,,26,,,,144,264,57,38,,18,7,,,38%,393,369,193,176,52%,48%,$43600.00,1961,7.9%
2000220330002006,2000,2,6,220330002006,1226,263,905,0,18,3,,,,757,27.7,20046,132,218,8,69,,9,,,,163,242,8,45,9,5,,,12,38%,565,479,226,253,47%,53%,$45000.00,1964,3%
2000220330003001,2000,3,1,220330003001,1358,125,1223,0,7,2,,,,682,25.1,22227,72,216,9,129,,6,,,,183,271,46,42,,,,,,36%,474,435,250,185,57%,43%,$44500.00,1963,20%
2000220330003002,2000,3,2,220330003002,86,14,72,0,0,0,,,,47,40,48750,6,18,,12,,,,,,12,22,,10,,,,,,47%,36,22,22,,100%,,$24200.00,1947,0%
